"","topic","recall","precision","fmeasure","accuracy"
"acq","acq","91.7","30.1","45.3","74.9"
"corn","corn","14.3","9.9","11.7","98.1"
"crude","crude","66.1","25.9","37.2","93.3"
"earn","earn","97.7","53.2","68.9","84.8"
"grain","grain","2.3","5","3.1","99"
"interest","interest","48.1","31.8","38.3","96.7"
"money.fx","money.fx","71.7","23.8","35.7","92.6"
"ship","ship","41.6","16.1","23.2","96.1"
"trade","trade","76.1","21.9","34","94.5"
"wheat","wheat","29.6","12.5","17.6","96.9"
"macro.avg","Macro-average","53.9","23","31.5","92.7"
"micro.avg","Micro-average","81.8","34.8","48.8","92.7"
