"","cluster","other","acq","alum","austdlr","barley","bfr","bop","can","carcass","castor.oil","castorseed","citruspulp","cocoa","coconut","coconut.oil","coffee","copper","copra.cake","corn","corn.oil","cornglutenfeed","cotton.oil","cottonseed","cpi","cpu","crude","cruzado","dfl","dkr","dlr","dmk","earn","f.cattle","fishmeal","fuel","gas","gnp","gold","grain","groundnut","groundnut.oil","heat","hk","hog","housing","income","instal.debt","interest","inventories","ipi","iron.steel","jet","jobs","l.cattle","lead","lei","lin.meal","lin.oil","linseed","lit","livestock","lumber","meal.feed","money.fx","money.supply","nat.gas","nickel","nkr","nzdlr","oat","oilseed","orange","palladium","palm.oil","palmkernel","peseta","pet.chem","platinum","plywood","pork.belly","potato","propane","rand","rape.meal","rape.oil","rapeseed","red.bean","reserves","retail","rice","ringgit","rubber","rupiah","rye","saudriyal","sfr","ship","silver","skr","sorghum","soy.meal","soy.oil","soybean","stg","strategic.metal","sugar","sun.meal","sun.oil","sunseed","tapioca","tea","tin","trade","veg.oil","wheat","wool","wpi","yen","zinc"
"0","0",8709,2101,53,3,49,1,100,3,56,2,1,1,64,4,7,126,70,2,211,1,2,3,1,95,3,538,1,2,1,191,12,3517,2,1,24,61,141,109,539,10,2,24,1,20,16,13,6,433,7,60,57,6,63,6,26,15,1,2,2,3,87,16,44,688,158,115,9,3,4,12,171,25,3,35,3,1,38,12,4,3,6,5,3,1,7,35,1,72,24,57,1,44,1,2,3,2,251,32,1,30,24,23,105,18,26,158,2,8,16,3,15,24,472,122,269,1,25,60,33
"1","1",69,22,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,5,0,0,0,1,0,10,1,1,0,0,2,1,5,0,0,0,0,0,0,0,0,4,0,1,1,0,1,1,1,0,0,0,0,0,1,0,2,8,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,1,0,1,3,0,0,0,1,0,0,3,0,2,0,0,0,1
"10","10",30,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"11","11",35,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0
"12","12",44,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
"13","13",37,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2",61,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,21,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,2,0,1,0,0,1,0
"3","3",314,72,3,1,0,0,3,0,3,0,0,0,3,0,0,2,1,0,12,0,0,0,0,5,0,19,0,0,0,7,2,120,0,0,2,1,7,5,21,0,0,0,0,1,0,1,0,14,0,1,1,0,2,0,4,0,0,0,0,0,4,0,1,25,6,0,1,0,0,0,7,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,2,0,0,0,0,0,1,10,2,0,2,1,2,6,1,0,3,0,0,1,0,0,2,20,4,8,0,4,3,4
"4","4",107,22,1,0,0,0,1,0,2,0,0,0,1,0,0,3,1,0,2,0,0,0,0,2,0,14,0,0,0,2,1,18,0,0,0,0,0,4,9,0,0,0,0,1,0,0,0,12,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,10,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,1,2,2,8,0,1,0,0
"5","5",177,43,0,0,2,0,3,0,3,0,0,0,1,1,0,1,2,0,5,0,0,0,0,1,1,7,0,0,0,1,0,70,0,0,0,0,3,4,13,0,0,0,0,0,2,1,0,1,0,2,1,0,2,0,2,0,0,0,0,0,4,1,0,9,4,3,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,8,1,0,2,0,0,2,1,1,1,0,0,0,0,0,1,11,4,5,0,0,0,2
"6","6",491,135,4,0,1,0,6,0,3,0,0,0,4,0,0,7,1,1,9,0,0,0,0,4,0,36,0,1,0,11,0,190,0,0,1,1,8,5,21,0,0,0,0,3,2,2,1,42,0,0,5,2,3,2,1,1,0,0,0,0,7,0,2,41,13,2,1,0,0,0,5,2,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,5,0,1,0,2,0,0,0,0,23,1,0,0,0,0,2,1,1,9,0,0,0,0,0,2,26,3,10,1,2,2,4
"7","7",72,8,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,5,0,0,0,2,0,9,0,0,0,0,1,1,4,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,7,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,2,0
