"","cluster","other","acq","corn","crude","earn","grain","interest","money.fx","ship","trade","wheat"
"1","1",10,2,0,0,4,0,1,3,1,0,0
"10","10",52,7,2,0,10,0,3,0,0,5,5
"11","11",50,8,0,1,10,1,2,6,2,1,3
"12","12",69,12,0,6,16,2,2,3,1,3,0
"13","13",45,11,1,1,9,0,3,3,0,2,1
"14","14",8,2,0,0,0,0,0,0,0,0,0
"15","15",22,6,1,2,7,0,1,1,0,1,1
"16","16",8,1,0,0,3,0,0,0,0,0,0
"17","17",4,1,0,1,1,1,0,0,1,0,0
"18","18",10,3,0,1,4,0,1,1,1,0,0
"19","19",18,3,0,1,3,0,0,0,1,0,1
"2","2",10504,2122,218,542,3472,131,447,708,265,469,249
"20","20",28,4,0,2,12,1,2,2,0,3,1
"21","21",4,0,0,0,0,0,0,0,0,0,0
"22","22",12,4,0,1,1,0,0,0,0,0,1
"23","23",17,1,0,3,2,1,0,1,0,1,0
"24","24",8,2,0,0,1,0,0,1,0,0,0
"25","25",3,1,1,0,2,0,0,0,0,0,0
"26","26",11,3,2,1,5,0,1,2,0,0,2
"27","27",1,3,0,0,0,0,0,0,0,0,0
"28","28",3,3,0,1,0,1,0,0,0,1,1
"29","29",6,2,0,0,3,1,0,1,0,0,0
"3","3",216,43,5,9,78,2,10,14,6,16,7
"30","30",7,0,0,1,4,0,0,1,1,2,0
"31","31",18,3,0,1,4,0,1,0,0,2,0
"32","32",3,2,2,0,1,0,0,0,0,1,0
"33","33",3,0,0,0,1,0,0,0,0,0,0
"34","34",0,1,0,0,0,0,0,0,0,0,0
"35","35",0,0,0,0,1,0,0,0,0,0,0
"36","36",3,0,0,1,1,0,0,0,0,0,0
"37","37",2,0,0,0,0,0,1,0,0,0,0
"38","38",6,0,0,0,2,0,0,0,0,0,0
"39","39",1,0,0,1,0,0,0,0,0,0,0
"4","4",490,93,8,24,155,5,17,24,14,21,13
"40","40",3,1,0,0,0,0,0,0,0,0,0
"41","41",3,0,0,0,0,0,0,0,0,0,0
"42","42",1,0,0,1,0,0,0,0,0,0,0
"43","43",1,0,0,1,0,0,0,0,0,1,0
"44","44",1,0,0,0,0,0,0,0,0,0,0
"45","45",3,0,0,0,0,0,0,0,0,1,0
"46","46",3,0,0,0,1,0,0,0,0,0,0
"47","47",0,1,0,0,1,0,0,0,0,0,0
"48","48",1,0,0,0,0,0,0,0,0,0,0
"49","49",1,0,0,0,0,0,0,0,0,0,0
"5","5",34,12,3,3,12,0,2,3,1,1,4
"50","50",1,0,0,0,0,0,0,0,0,0,0
"6","6",261,50,2,15,83,7,12,15,9,9,9
"7","7",60,11,2,5,27,1,2,6,1,2,3
"8","8",111,22,4,8,38,3,3,5,0,7,5
"9","9",52,8,2,1,13,0,2,1,1,2,0
