"cust_id"	"sales_total"	"num_of_orders"	"gender"	"per_order"
100001	800.64	3	"F"	266.88
100002	217.53	3	"F"	72.51
100003	74.58	2	"M"	37.29
100004	498.6	3	"M"	166.2
100005	723.11	4	"F"	180.7775
100006	69.43	2	"F"	34.715
100007	40.15	2	"M"	20.075
100008	58.61	2	"M"	29.305
100009	364.63	2	"F"	182.315
100010	44.31	2	"M"	22.155
100011	216.41	1	"F"	216.41
100012	157.92	2	"F"	78.96
100013	289.58	1	"M"	289.58
100014	1044.4	7	"M"	149.2
100015	82.3	3	"M"	27.4333333333333
100016	90.21	2	"M"	45.105
100017	59.09	2	"M"	29.545
100018	361.38	1	"M"	361.38
100019	37.32	1	"M"	37.32
100020	311.34	3	"F"	103.78
100021	90.84	3	"M"	30.28
100022	580.64	5	"M"	116.128
100023	274.31	2	"F"	137.155
100024	215.06	2	"F"	107.53
100025	202.99	3	"F"	67.6633333333333
100026	53.03	2	"F"	26.515
100027	153.87	3	"F"	51.29
100028	149.65	3	"M"	49.8833333333333
100029	271.5	3	"M"	90.5
100030	456.17	3	"F"	152.056666666667
100031	123.49	3	"F"	41.1633333333333
100032	122.92	2	"F"	61.46
100033	272.96	1	"M"	272.96
100034	120.57	1	"M"	120.57
100035	162.56	1	"M"	162.56
100036	710.93	4	"M"	177.7325
100037	39.72	2	"M"	19.86
100038	240.35	3	"F"	80.1166666666667
100039	155.54	1	"F"	155.54
100040	87.55	3	"M"	29.1833333333333
100041	85.15	2	"F"	42.575
100042	163.95	2	"M"	81.975
100043	72.30441591	1	"M"	72.30441591
100044	41.63	2	"M"	20.815
100045	326.47	4	"M"	81.6175
100046	80.8	1	"F"	80.8
100047	350.02	2	"F"	175.01
100048	128.26	1	"M"	128.26
100049	110.44	3	"F"	36.8133333333333
100050	83.25925463	1	"M"	83.25925463
100051	49.39	1	"M"	49.39
100052	52.27	3	"F"	17.4233333333333
100053	157.13	1	"F"	157.13
100054	424.12	3	"F"	141.373333333333
100055	143.8	2	"M"	71.9
100056	96.14	2	"M"	48.07
100057	659.04	3	"M"	219.68
100058	47.73	2	"M"	23.865
100059	73.72	2	"M"	36.86
100060	81.85	2	"F"	40.925
100061	111.39	2	"M"	55.695
100062	113.64	1	"M"	113.64
100063	542.67	3	"M"	180.89
100064	37.44	2	"M"	18.72
100065	126.54	2	"M"	63.27
100066	54.72	3	"M"	18.24
100067	190.81	3	"M"	63.6033333333333
100068	204.78	2	"F"	102.39
100069	97.77	3	"F"	32.59
100070	190.62	1	"M"	190.62
100071	170.09	2	"F"	85.045
100072	148.41	1	"F"	148.41
100073	347.39	4	"M"	86.8475
100074	61.76	1	"F"	61.76
100075	40.47	1	"M"	40.47
100076	85.18937512	1	"M"	85.18937512
100077	920.85	5	"F"	184.17
100078	78.16	2	"F"	39.08
100079	53.98	1	"F"	53.98
100080	498.18	3	"F"	166.06
100081	50.25	2	"F"	25.125
100082	31.9	2	"F"	15.95
100083	297.14	2	"M"	148.57
100084	39.63	2	"F"	19.815
100085	146.27	2	"F"	73.135
100086	79.58	1	"M"	79.58
100087	339.49	1	"M"	339.49
100088	114.97	3	"F"	38.3233333333333
100089	183.25	3	"M"	61.0833333333333
100090	159.24	2	"M"	79.62
100091	152.16	2	"M"	76.08
100092	280.63	4	"F"	70.1575
100093	36.18	2	"F"	18.09
100094	154.18	1	"F"	154.18
100095	265.46	2	"M"	132.73
100096	222.11	2	"F"	111.055
100097	99.98	2	"F"	49.99
100098	190.23	1	"M"	190.23
100099	91.43	2	"F"	45.715
100100	340.83	1	"F"	340.83
100101	209.75	3	"M"	69.9166666666667
100102	742.42	6	"F"	123.736666666667
100103	127.4	2	"M"	63.7
100104	585.58	2	"M"	292.79
100105	246.92	3	"M"	82.3066666666667
100106	589.02	2	"F"	294.51
100107	437.02	2	"F"	218.51
100108	214.4	1	"M"	214.4
100109	317.29	2	"M"	158.645
100110	161.17	1	"F"	161.17
100111	554.56	5	"M"	110.912
100112	322.61	2	"F"	161.305
100113	405.05	3	"M"	135.016666666667
100114	245.23	4	"M"	61.3075
100115	292.72	3	"M"	97.5733333333333
100116	407.88	2	"F"	203.94
100117	650.47	2	"F"	325.235
100118	53.35415123	2	"M"	26.677075615
100119	242.86	2	"F"	121.43
100120	401.03	3	"M"	133.676666666667
100121	56.46	1	"M"	56.46
100122	176.63	2	"F"	88.315
100123	317.3	1	"M"	317.3
100124	818.45	6	"F"	136.408333333333
100125	53.62	2	"F"	26.81
100126	512.44	2	"M"	256.22
100127	204.65	3	"M"	68.2166666666667
100128	208.93	2	"M"	104.465
100129	378.96	3	"F"	126.32
100130	51.6	2	"M"	25.8
100131	65.78	3	"M"	21.9266666666667
100132	252.27	3	"F"	84.09
100133	747.9	4	"M"	186.975
100134	48.42	1	"F"	48.42
100135	240.73	1	"M"	240.73
100136	989.62	6	"M"	164.936666666667
100137	289.48	2	"M"	144.74
100138	30.85	1	"F"	30.85
100139	196.91	3	"M"	65.6366666666667
100140	213.57	3	"M"	71.19
100141	123.88	1	"F"	123.88
100142	303.22	2	"M"	151.61
100143	61.79	2	"M"	30.895
100144	58.93	3	"F"	19.6433333333333
100145	215.5	2	"F"	107.75
100146	150.73	2	"M"	75.365
100147	314.36	4	"F"	78.59
100148	145.02	2	"M"	72.51
100149	37.39	2	"M"	18.695
100150	1011.88	9	"F"	112.431111111111
100151	37.06	2	"F"	18.53
100152	97.66	3	"F"	32.5533333333333
100153	231.79	3	"M"	77.2633333333333
100154	71.33	2	"M"	35.665
100155	108.16	3	"M"	36.0533333333333
100156	236.93	2	"M"	118.465
100157	77.31	3	"F"	25.77
100158	106.82	2	"M"	53.41
100159	1947.93	9	"M"	216.436666666667
100160	267.68	1	"M"	267.68
100161	107.75	2	"M"	53.875
100162	782.29	2	"M"	391.145
100163	257.55	3	"F"	85.85
100164	32.11	1	"F"	32.11
100165	71.78	1	"F"	71.78
100166	48.57	1	"M"	48.57
100167	586.01	6	"M"	97.6683333333333
100168	53.87	1	"M"	53.87
100169	143.48	2	"M"	71.74
100170	34.55	1	"M"	34.55
100171	97.07	1	"F"	97.07
100172	174.69	2	"F"	87.345
100173	223.65	3	"F"	74.55
100174	356.88	1	"F"	356.88
100175	35.75	1	"F"	35.75
100176	680.61	6	"F"	113.435
100177	325.48	4	"M"	81.37
100178	50.39	3	"M"	16.7966666666667
100179	49.77	2	"F"	24.885
100180	210.02	1	"F"	210.02
100181	65.09	2	"M"	32.545
100182	223.17	4	"M"	55.7925
100183	1210.78	5	"F"	242.156
100184	238.91	2	"M"	119.455
100185	111.75	1	"M"	111.75
100186	122.1	2	"M"	61.05
100187	63.69	1	"M"	63.69
100188	59.37	2	"F"	29.685
100189	56.43	3	"F"	18.81
100190	202.04	1	"F"	202.04
100191	222.58	2	"F"	111.29
100192	253.49	3	"F"	84.4966666666667
100193	81.92	2	"M"	40.96
100194	71.84	1	"F"	71.84
100195	145.91	2	"M"	72.955
100196	363.03	2	"F"	181.515
100197	96.62	1	"M"	96.62
100198	292.33	1	"M"	292.33
100199	553.15	5	"F"	110.63
100200	163.78	3	"F"	54.5933333333333
100201	404.37	3	"F"	134.79
100202	258.5	4	"F"	64.625
100203	459.69	2	"M"	229.845
100204	57.37793402	2	"M"	28.68896701
100205	430.29	2	"F"	215.145
100206	144.27	2	"M"	72.135
100207	99.87	3	"M"	33.29
100208	194.03	2	"M"	97.015
100209	253.65	4	"M"	63.4125
100210	305.29	1	"F"	305.29
100211	323.59	2	"F"	161.795
100212	70.12	3	"M"	23.3733333333333
100213	70.4	3	"F"	23.4666666666667
100214	49.65	1	"F"	49.65
100215	1211.36	7	"M"	173.051428571429
100216	364.29	1	"F"	364.29
100217	257.13	3	"F"	85.71
100218	85.15	2	"M"	42.575
100219	159.61	2	"M"	79.805
100220	1247.34	5	"M"	249.468
100221	201.91	4	"M"	50.4775
100222	328.42	2	"F"	164.21
100223	185.5	2	"M"	92.75
100224	471.05	1	"F"	471.05
100225	62.85	2	"M"	31.425
100226	186.59	3	"M"	62.1966666666667
100227	127.9	3	"M"	42.6333333333333
100228	874.14	2	"M"	437.07
100229	31.68	2	"M"	15.84
100230	192.38	2	"M"	96.19
100231	115.97	2	"M"	57.985
100232	293.2	1	"M"	293.2
100233	64.17	2	"F"	32.085
100234	281.24	3	"M"	93.7466666666667
100235	374.79	2	"F"	187.395
100236	58.81	2	"M"	29.405
100237	452.17	3	"F"	150.723333333333
100238	212.7	3	"M"	70.9
100239	135.95	2	"M"	67.975
100240	36.71	2	"F"	18.355
100241	225.58	2	"M"	112.79
100242	424.3	3	"F"	141.433333333333
100243	220.3	1	"M"	220.3
100244	93.08	2	"M"	46.54
100245	59.53858915	2	"M"	29.769294575
100246	347.15	1	"M"	347.15
100247	97.71	1	"M"	97.71
100248	321.66	3	"F"	107.22
100249	254.61	3	"F"	84.87
100250	59.41	3	"F"	19.8033333333333
100251	467.87	3	"F"	155.956666666667
100252	70.50535731	2	"M"	35.252678655
100253	2301.26	9	"F"	255.695555555556
100254	336.7	2	"M"	168.35
100255	153.11	1	"M"	153.11
100256	114.51	3	"F"	38.17
100257	166.29	3	"M"	55.43
100258	261.12	2	"F"	130.56
100259	79.95	2	"F"	39.975
100260	3873.24	8	"F"	484.155
100261	398.4	2	"F"	199.2
100262	167.06	2	"M"	83.53
100263	133.31	2	"M"	66.655
100264	82.12	2	"F"	41.06
100265	59.17314637	2	"F"	29.586573185
100266	406.04	4	"M"	101.51
100267	274.02	2	"M"	137.01
100268	348.28	1	"M"	348.28
100269	77.25	2	"F"	38.625
100270	87.55	2	"M"	43.775
100271	90.91	3	"M"	30.3033333333333
100272	1036.88	10	"F"	103.688
100273	67.23	2	"M"	33.615
100274	405.53	2	"F"	202.765
100275	34.49	1	"F"	34.49
100276	146.86	2	"F"	73.43
100277	36.26	1	"F"	36.26
100278	116.68	1	"M"	116.68
100279	208.41	3	"M"	69.47
100280	36.35	2	"M"	18.175
100281	296.64	3	"M"	98.88
100282	261.61	3	"M"	87.2033333333333
100283	233.45	2	"M"	116.725
100284	199.26	2	"F"	99.63
100285	133.19	1	"M"	133.19
100286	99.26	2	"F"	49.63
