Image ID,Image class
1,Homogeneous
2,Homogeneous
3,Homogeneous
4,Homogeneous
5,Homogeneous
6,Homogeneous
7,Homogeneous
8,Homogeneous
9,Homogeneous
10,Homogeneous
11,Homogeneous
12,Homogeneous
13,Homogeneous
14,Homogeneous
15,Homogeneous
16,Homogeneous
17,Homogeneous
18,Homogeneous
19,Homogeneous
20,Homogeneous
21,Homogeneous
22,Homogeneous
23,Homogeneous
24,Homogeneous
25,Homogeneous
26,Homogeneous
27,Homogeneous
28,Homogeneous
29,Homogeneous
30,Homogeneous
31,Homogeneous
32,Homogeneous
33,Homogeneous
34,Homogeneous
35,Homogeneous
36,Homogeneous
37,Homogeneous
38,Homogeneous
39,Homogeneous
40,Homogeneous
41,Homogeneous
42,Homogeneous
43,Homogeneous
44,Homogeneous
45,Homogeneous
46,Homogeneous
47,Homogeneous
48,Homogeneous
49,Homogeneous
50,Homogeneous
51,Homogeneous
52,Homogeneous
53,Homogeneous
54,Homogeneous
55,Homogeneous
56,Homogeneous
57,Homogeneous
58,Homogeneous
59,Homogeneous
60,Homogeneous
61,Homogeneous
62,Homogeneous
63,Homogeneous
64,Homogeneous
65,Homogeneous
66,Homogeneous
67,Homogeneous
68,Homogeneous
69,Homogeneous
70,Homogeneous
71,Homogeneous
72,Homogeneous
73,Homogeneous
74,Homogeneous
75,Homogeneous
76,Homogeneous
77,Homogeneous
78,Homogeneous
79,Homogeneous
80,Homogeneous
81,Homogeneous
82,Homogeneous
83,Homogeneous
84,Homogeneous
85,Homogeneous
86,Homogeneous
87,Homogeneous
88,Homogeneous
89,Homogeneous
90,Homogeneous
91,Homogeneous
92,Homogeneous
93,Homogeneous
94,Homogeneous
95,Homogeneous
96,Homogeneous
97,Homogeneous
98,Homogeneous
99,Homogeneous
100,Homogeneous
101,Homogeneous
102,Homogeneous
103,Homogeneous
104,Homogeneous
105,Homogeneous
106,Homogeneous
107,Homogeneous
108,Homogeneous
109,Homogeneous
110,Homogeneous
111,Homogeneous
112,Homogeneous
113,Homogeneous
114,Homogeneous
115,Homogeneous
116,Homogeneous
117,Homogeneous
